Team,G,Date,Opp,W/L,Pts Scored,Pts Allowed,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%-opp,TOV%-opp,DRB%,FT/FGA-opp
MIA,1,2018-10-17,ORL,L,101,104,97.60,100.50,103.50,0.23,0.34,0.47,50.50,42.10,3.90,7.20,0.44,13.00,27.50,0.17,0.45,10.00,73.10,0.20
MIA,2,2018-10-18,WAS,W,113,112,110.80,109.90,101.90,0.35,0.36,0.51,57.90,65.80,5.90,9.10,0.45,12.50,40.00,0.26,0.51,12.50,82.50,0.36
MIA,3,2018-10-20,CHO,L,112,113,112.60,113.60,99.50,0.30,0.38,0.56,55.10,51.20,4.00,21.60,0.52,12.90,30.00,0.21,0.53,9.60,75.50,0.16
MIA,4,2018-10-24,NYK,W,110,87,110.40,87.40,99.60,0.34,0.35,0.58,53.10,61.50,7.00,8.60,0.56,12.10,10.30,0.23,0.43,11.00,82.50,0.10
MIA,5,2018-10-27,POR,W,120,111,120.20,111.20,99.90,0.27,0.41,0.56,57.10,47.70,7.00,14.50,0.54,10.00,32.00,0.18,0.49,8.20,83.30,0.28
MIA,6,2018-10-29,SAC,L,113,123,103.80,113.00,108.90,0.37,0.42,0.53,53.10,52.60,9.20,12.70,0.48,14.40,26.00,0.26,0.56,10.00,81.30,0.15
MIA,7,2018-10-30,CHO,L,113,125,115.10,127.40,98.10,0.28,0.32,0.58,46.60,61.00,9.20,9.40,0.53,13.30,24.40,0.23,0.62,13.00,75.00,0.30
MIA,8,2018-11-03,ATL,L,118,123,117.40,122.40,100.50,0.31,0.47,0.61,52.60,65.90,6.00,10.70,0.58,15.00,31.00,0.23,0.60,14.00,77.80,0.20
MIA,9,2018-11-05,DET,W,120,115,104.70,100.30,103.80,0.32,0.32,0.54,45.50,54.50,8.70,11.40,0.51,13.20,18.80,0.20,0.46,13.90,66.10,0.17
MIA,10,2018-11-07,SAS,W,95,88,97.90,90.70,97.10,0.19,0.34,0.47,55.00,58.30,8.20,17.70,0.44,11.40,27.50,0.14,0.40,10.70,79.30,0.14
MIA,11,2018-11-09,IND,L,102,110,99.20,106.90,102.90,0.34,0.34,0.56,49.40,75.00,5.80,10.20,0.54,20.00,21.40,0.20,0.59,16.40,82.90,0.21
MIA,12,2018-11-10,WAS,L,110,116,112.70,118.80,97.60,0.29,0.38,0.55,44.20,64.10,5.10,8.20,0.51,16.00,31.10,0.23,0.53,13.10,58.50,0.34
MIA,13,2018-11-12,PHI,L,114,124,118.10,128.50,96.50,0.43,0.40,0.62,48.80,51.40,5.20,12.80,0.56,14.10,20.00,0.35,0.56,8.20,76.20,0.37
MIA,14,2018-11-14,BRK,W,120,107,112.20,100.10,106.90,0.33,0.34,0.62,50.50,50.00,5.60,8.20,0.59,14.90,16.70,0.23,0.45,11.90,71.90,0.17
MIA,15,2018-11-16,IND,L,91,99,91.00,99.00,100.00,0.11,0.39,0.47,52.00,60.00,10.00,9.30,0.45,14.10,23.20,0.07,0.53,17.80,90.50,0.16
MIA,16,2018-11-18,LAL,L,97,113,102.50,119.40,94.60,0.22,0.37,0.51,49.00,57.10,3.20,7.40,0.48,11.20,25.00,0.16,0.50,7.90,72.00,0.19
MIA,17,2018-11-20,BRK,L,92,104,94.20,106.50,97.70,0.20,0.32,0.42,49.50,50.00,5.10,10.50,0.40,11.40,31.00,0.13,0.48,10.00,72.30,0.23
MIA,18,2018-11-23,CHI,W,103,96,99.30,92.50,103.80,0.36,0.39,0.51,48.50,54.10,9.60,16.70,0.48,12.20,20.00,0.22,0.41,14.20,77.60,0.20
MIA,19,2018-11-25,TOR,L,115,125,119.80,130.30,96.00,0.34,0.38,0.53,49.50,53.80,6.30,9.10,0.49,6.00,32.10,0.23,0.58,8.20,72.50,0.22
MIA,20,2018-11-27,ATL,L,113,115,105.90,107.80,106.70,0.34,0.44,0.56,48.30,55.00,18.80,6.10,0.53,16.60,23.40,0.23,0.55,20.30,76.20,0.34
MIA,21,2018-11-30,NOP,W,106,101,109.10,104.00,97.10,0.26,0.35,0.51,50.00,55.00,10.30,7.40,0.49,8.80,27.10,0.16,0.46,14.40,75.00,0.30
MIA,22,2018-12-02,UTA,W,102,100,104.80,102.70,97.40,0.26,0.34,0.50,50.00,55.60,8.20,14.30,0.47,11.30,25.90,0.19,0.50,12.00,78.30,0.12
