PLAYER,MPG,TEAM,TS%,AST,TO,USG,ORR,DRR,REBR,PER,ORPM,DRPM,RPM
James Harden,37.1,HOU,0.622,20.8,13.5,40.0,2.1,17.0,9.3,29.21,7.76,-0.06,7.7
Anthony Davis,36.9,NO,0.598,14.3,6.7,29.3,10.0,27.7,19.1,31.09,3.93,3.24,7.17
Paul George,35.7,OKC,0.574,13.0,9.0,29.6,4.3,19.3,11.7,23.29,3.82,2.85,6.67
Nikola Jokic,31.3,DEN,0.5870000000000001,27.6,12.0,29.1,9.7,25.6,17.6,26.09,4.46,1.83,6.29
Kyrie Irving,32.1,BOS,0.5920000000000001,22.9,8.9,29.9,3.8,12.2,8.0,24.55,4.6,0.92,5.52
Stephen Curry,34.5,GS,0.6559999999999999,18.2,10.2,31.1,2.2,13.6,8.1,25.96,5.15,0.12,5.27
Nikola Vucevic,30.7,ORL,0.584,16.3,8.9,27.3,8.7,33.8,21.0,25.9,1.94,3.22,5.16
Kyle Lowry,33.6,TOR,0.568,38.8,10.9,21.8,1.4,12.1,6.8,18.23,3.44,1.65,5.09
LeBron James,34.6,LAL,0.601,21.5,10.3,31.8,2.9,21.2,12.3,26.44,3.65,1.35,5.0
Giannis Antetokounmpo,33.6,MIL,0.63,19.2,13.1,31.6,7.9,30.3,19.7,29.09,2.37,2.18,4.55
Kevin Durant,35.6,GS,0.626,19.1,10.5,31.1,1.5,20.2,11.2,25.62,4.14,0.36,4.5
Jusuf Nurkic,27.0,POR,0.5710000000000001,15.8,12.3,24.7,13.7,26.4,20.2,23.87,0.67,3.58,4.25
Rudy Gobert,31.4,UTAH,0.667,14.4,10.5,16.9,12.7,30.8,21.8,23.72,0.19,3.86,4.05
Mike Conley,33.9,MEM,0.545,23.5,6.7,27.7,2.0,9.3,5.6,20.35,3.83,0.04,3.87
Danilo Gallinari,31.8,LAC,0.626,12.9,7.2,22.2,3.3,16.6,10.2,20.14,4.12,-0.32,3.8
Jrue Holiday,36.6,NO,0.561,27.2,11.6,26.4,3.6,9.6,6.7,19.24,3.42,0.24,3.66
Paul Millsap,26.2,DEN,0.557,13.1,9.5,21.5,8.9,19.6,14.2,19.09,0.55,3.02,3.57
Marcus Smart,26.4,BOS,0.551,32.3,11.3,15.0,3.0,8.5,5.7,12.9,1.1,2.42,3.52
Marc Gasol,34.2,MEM,0.5429999999999999,21.3,10.2,22.2,3.3,26.0,14.4,17.72,0.74,2.77,3.51
Damian Lillard,35.2,POR,0.589,19.9,9.1,30.5,2.4,10.8,6.8,23.48,5.0,-1.5,3.5
Joel Embiid,33.7,PHI,0.598,11.9,11.9,31.7,7.6,34.4,21.4,25.64,1.77,1.62,3.39
