Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.8,44,14,45,13,9.62,-0.62,9.00,113.0,103.7,+9.3,102.8,.248,.415,.583,.551,12.5,20.5,.190,.499,12.1,80.6,.165,Fiserv Forum,505984,17448
2,Golden State Warriors,28.4,42,16,41,17,7.02,-0.14,6.88,116.9,110.0,+6.9,101.0,.242,.375,.597,.562,12.3,23.2,.196,.511,11.6,77.4,.204,Oracle Arena,587880,19596
3,Boston Celtics,25.6,37,22,41,18,6.29,-0.79,5.50,112.7,106.4,+6.3,99.3,.210,.390,.569,.536,11.6,22.5,.171,.508,13.8,77.3,.203,TD Garden,577344,18624
4,Toronto Raptors,27.1,44,16,40,20,5.58,-0.25,5.34,113.1,107.6,+5.5,100.3,.257,.371,.572,.534,12.2,23.3,.207,.512,13.3,76.7,.195,Scotiabank Arena,594646,19822
5,Denver Nuggets,24.6,40,18,38,20,4.98,-0.38,4.60,114.4,109.3,+5.1,97.6,.235,.344,.562,.532,11.9,27.5,.178,.524,12.5,78.2,.197,Pepsi Center,531596,18331
6,Oklahoma City Thunder,25.6,38,20,38,20,5.17,-0.66,4.51,111.1,106.2,+4.9,103.4,.273,.332,.553,.521,11.9,25.7,.196,.521,15.0,77.4,.203,Chesapeake Energy Arena,509684,18203
7,Indiana Pacers,26.8,39,20,40,19,5.39,-1.17,4.22,110.1,104.6,+5.5,98.3,.232,.292,.562,.532,12.6,22.0,.175,.511,14.6,77.2,.182,Bankers Life Fieldhouse,520122,16778
8,Utah Jazz,27.2,32,26,35,23,3.17,0.83,4.00,109.2,106.0,+3.2,100.3,.301,.392,.566,.530,13.7,22.4,.221,.514,12.9,80.5,.191,Vivint Smart Home Arena,512568,18306
9,Portland Trail Blazers,26.2,35,23,35,23,3.21,0.65,3.85,113.1,109.9,+3.2,99.5,.252,.340,.565,.525,12.3,25.5,.206,.516,11.1,78.0,.188,Moda Center,620946,19405
10,Philadelphia 76ers,26.2,38,21,36,23,3.73,-0.51,3.22,112.8,109.2,+3.6,101.7,.323,.356,.581,.539,13.5,24.0,.250,.509,11.6,78.6,.207,Wells Fargo Center,632909,20416
